[pilot1] === pilot 1 start, params=79108, cosine LR 0.003->3e-05 over 30000 steps, no early stopping ===
[pilot1] pilot 1 step  12600  lr=1.88e-03  loss=0.6737  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=10240s  PASS
[pilot1] pilot 1 step  12700  lr=1.87e-03  loss=0.7468  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=10323s  PASS
[pilot1] pilot 1 step  12800  lr=1.85e-03  loss=0.7803  val_acc={1: 1.0, 2: 0.992, 3: 1.0}  elapsed=10404s  PASS
[pilot1] pilot 1 step  12900  lr=1.84e-03  loss=0.6730  val_acc={1: 1.0, 2: 0.992, 3: 0.969}  elapsed=10486s  PASS
[pilot1] pilot 1 step  13000  lr=1.82e-03  loss=0.7580  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=10567s  PASS
[pilot1] pilot 1 step  13100  lr=1.81e-03  loss=0.7825  val_acc={1: 1.0, 2: 0.992, 3: 0.953}  elapsed=10649s  PASS
[pilot1] pilot 1 step  13200  lr=1.79e-03  loss=0.6664  val_acc={1: 1.0, 2: 0.984, 3: 0.977}  elapsed=10730s  PASS
[pilot1] pilot 1 step  13300  lr=1.78e-03  loss=0.7495  val_acc={1: 1.0, 2: 0.977, 3: 1.0}  elapsed=10812s  PASS
[pilot1] pilot 1 step  13400  lr=1.76e-03  loss=0.7828  val_acc={1: 1.0, 2: 0.969, 3: 0.945}  elapsed=10895s  
[pilot1] pilot 1 step  13500  lr=1.75e-03  loss=0.6663  val_acc={1: 1.0, 2: 0.977, 3: 0.953}  elapsed=10976s  PASS
[pilot1] pilot 1 step  13600  lr=1.73e-03  loss=0.7420  val_acc={1: 1.0, 2: 0.969, 3: 0.969}  elapsed=11058s  PASS
[pilot1] pilot 1 step  13700  lr=1.72e-03  loss=0.7740  val_acc={1: 1.0, 2: 0.977, 3: 0.969}  elapsed=11141s  PASS
[pilot1] pilot 1 step  13800  lr=1.70e-03  loss=0.6552  val_acc={1: 1.0, 2: 0.984, 3: 0.969}  elapsed=11223s  PASS
[pilot1] pilot 1 step  13900  lr=1.69e-03  loss=0.7539  val_acc={1: 1.0, 2: 0.953, 3: 0.953}  elapsed=11304s  PASS
[pilot1] pilot 1 step  14000  lr=1.67e-03  loss=0.7800  val_acc={1: 1.0, 2: 0.969, 3: 0.922}  elapsed=11386s  
[pilot1] pilot 1 step  14100  lr=1.65e-03  loss=0.6648  val_acc={1: 1.0, 2: 0.961, 3: 0.961}  elapsed=11469s  PASS
[pilot1] pilot 1 step  14200  lr=1.64e-03  loss=0.7581  val_acc={1: 1.0, 2: 0.992, 3: 0.969}  elapsed=11550s  PASS
[pilot1] pilot 1 step  14300  lr=1.62e-03  loss=0.7901  val_acc={1: 1.0, 2: 0.992, 3: 0.977}  elapsed=11631s  PASS
[pilot1] pilot 1 step  14400  lr=1.61e-03  loss=0.6651  val_acc={1: 1.0, 2: 0.984, 3: 0.969}  elapsed=11712s  PASS
[pilot1] pilot 1 step  14500  lr=1.59e-03  loss=0.7482  val_acc={1: 1.0, 2: 0.945, 3: 0.891}  elapsed=11794s  
[pilot1] pilot 1 step  14600  lr=1.58e-03  loss=0.7724  val_acc={1: 1.0, 2: 0.969, 3: 0.953}  elapsed=11876s  PASS
[pilot1] pilot 1 step  14700  lr=1.56e-03  loss=0.6571  val_acc={1: 1.0, 2: 0.992, 3: 0.977}  elapsed=11957s  PASS
[pilot1] pilot 1 step  14800  lr=1.55e-03  loss=0.7499  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=12038s  PASS
[pilot1] pilot 1 step  14900  lr=1.53e-03  loss=0.7757  val_acc={1: 1.0, 2: 0.969, 3: 0.945}  elapsed=12120s  
[pilot1] pilot 1 step  15000  lr=1.52e-03  loss=0.6640  val_acc={1: 1.0, 2: 0.984, 3: 0.961}  elapsed=12201s  PASS
[pilot1] pilot 1 step  15100  lr=1.50e-03  loss=0.7496  val_acc={1: 1.0, 2: 0.961, 3: 0.969}  elapsed=12283s  PASS
[pilot1] pilot 1 step  15200  lr=1.48e-03  loss=0.7777  val_acc={1: 1.0, 2: 0.945, 3: 0.891}  elapsed=12365s  
[pilot1] pilot 1 step  15300  lr=1.47e-03  loss=0.6779  val_acc={1: 1.0, 2: 0.977, 3: 0.961}  elapsed=12445s  PASS
[pilot1] pilot 1 step  15400  lr=1.45e-03  loss=0.7475  val_acc={1: 1.0, 2: 0.984, 3: 0.961}  elapsed=12526s  PASS
[pilot1] pilot 1 step  15500  lr=1.44e-03  loss=0.7805  val_acc={1: 1.0, 2: 0.969, 3: 0.945}  elapsed=12609s  
[pilot1] pilot 1 step  15600  lr=1.42e-03  loss=0.6683  val_acc={1: 1.0, 2: 0.992, 3: 0.945}  elapsed=12689s  
[pilot1] pilot 1 step  15700  lr=1.41e-03  loss=0.7422  val_acc={1: 1.0, 2: 0.953, 3: 0.945}  elapsed=12771s  
[pilot1] pilot 1 step  15800  lr=1.39e-03  loss=0.7725  val_acc={1: 1.0, 2: 0.984, 3: 0.953}  elapsed=12851s  PASS
[pilot1] pilot 1 step  15900  lr=1.38e-03  loss=0.6679  val_acc={1: 1.0, 2: 0.992, 3: 0.945}  elapsed=12932s  
[pilot1] pilot 1 step  16000  lr=1.36e-03  loss=0.7524  val_acc={1: 1.0, 2: 0.938, 3: 0.992}  elapsed=13013s  
[pilot1] pilot 1 step  16100  lr=1.34e-03  loss=0.7755  val_acc={1: 1.0, 2: 0.969, 3: 0.945}  elapsed=13094s  
[pilot1] pilot 1 step  16200  lr=1.33e-03  loss=0.6681  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=13175s  PASS
[pilot1] pilot 1 step  16300  lr=1.31e-03  loss=0.7516  val_acc={1: 1.0, 2: 0.992, 3: 0.977}  elapsed=13257s  PASS
[pilot1] pilot 1 step  16400  lr=1.30e-03  loss=0.7729  val_acc={1: 1.0, 2: 0.969, 3: 0.945}  elapsed=13339s  
