[real_seed_r2_2] === real seed 2, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_2] pilot 2 step   7600  lr=2.96e-03  loss=0.9391  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=633s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7700  lr=2.96e-03  loss=0.8672  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=641s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7800  lr=2.96e-03  loss=0.7977  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=649s  PASS  abstain_loss=0.0010  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   7900  lr=2.96e-03  loss=0.9095  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=657s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8000  lr=2.96e-03  loss=0.8718  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=665s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8100  lr=2.95e-03  loss=0.7702  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=673s  PASS  abstain_loss=0.0004  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8200  lr=2.95e-03  loss=0.9399  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=681s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8300  lr=2.95e-03  loss=0.9109  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=691s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8400  lr=2.95e-03  loss=0.8000  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=703s  PASS  abstain_loss=0.0018  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   8500  lr=2.95e-03  loss=0.9265  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=712s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
